id,title,description,skills,location,type,recruiter_id
1,Développeur Backend,Développement des APIs REST et gestion des bases de données,Python;Django;PostgreSQL,Paris,CDI,
2,Développeur Frontend,Création d'interfaces utilisateur modernes et interactives,JavaScript;React;HTML;CSS,Lyon,CDI,
3,Ingénieur Data,Analyse de données massives et optimisation de modèles de machine learning,Python;TensorFlow;Pandas;SQL,Bordeaux,CDI,
4,Chef de Projet IT,Coordination d'équipes techniques et suivi des projets digitaux,Agile;Scrum;Gestion de projet,Marseille,CDI,
5,Développeur Fullstack,Développement d'applications web complètes avec frontend et backend,Node.js;React;MongoDB;TypeScript,Paris,Stage,
6,DevOps Engineer,Mise en place de pipelines CI/CD et gestion des infrastructures cloud,Docker;Kubernetes;AWS;Terraform,Lille,CDI,
7,Designer UX/UI,Création de parcours utilisateurs intuitifs et design graphique,Figma;Sketch;Design UX/UI,Nantes,Freelance,
8,Consultant Sécurité,Audit de sécurité et mise en place de solutions de cybersécurité,Firewall;IDS;Pentesting;Sécurité réseau,Toulouse,CDI,
9,Analyste BI,Création de rapports décisionnels et modélisation des données,PowerBI;SQL;Excel,Strasbourg,CDD,
10,Développeur Mobile,Développement d'applications mobiles natives et hybrides,Swift;Kotlin;React Native,Nice,CDI,
11,Administrateur Systèmes,Gestion des systèmes d'exploitation et des réseaux internes,Linux;Windows Server;Bash,Brest,CDI,
12,Product Owner,Définition des besoins métiers et priorisation des features,Agile;Scrum;Gestion produit,Paris,CDI,
13,Testeur QA,Automatisation et exécution des tests fonctionnels et non fonctionnels,Selenium;Jira;Tests automatisés,Rennes,CDD,
14,Ingénieur Cloud,Conception et déploiement d'infrastructures sur le cloud,GCP;AWS;Azure;Terraform,Nantes,CDI,
15,Architecte Logiciel,Conception des architectures logicielles pour applications complexes,Java;Spring;Microservices,Toulouse,CDI,
16,Consultant ERP,Implémentation et support des solutions ERP pour les clients,SAP;Oracle ERP;Business Analysis,Lille,CDI,
17,Développeur Jeux Vidéo,Création de jeux interactifs et immersifs,Unity;C++;3D Modelling,Marseille,Stage,
18,Data Analyst,Analyse et visualisation des données pour les besoins stratégiques,Excel;Tableau;Python;SQL,Paris,CDD,
19,Responsable IT,Supervision des systèmes informatiques et gestion des équipes IT,Management IT;ITIL;Cloud Computing,Bordeaux,CDI,
20,Développeur Blockchain,Développement de contrats intelligents et applications décentralisées,Solidity;Ethereum;Web3,Paris,CDI,
21,Ingénieur IA,Développement et optimisation des modèles d'intelligence artificielle,Pytorch;Machine Learning;Python,Lyon,Stage,
